benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,Stage-2 Full,runtime,2,349989,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,213c91f5e6e2a56e23fbafe70c66a0c3da43369726c867deb28250d21d5ed4aa,52,312000,4.633673336,0.089109103,24504,0,,0
SBPF-instruction,Stage-1,runtime,2,350007,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2d50784e32f84541c2affa0438e5a15be7547069e3a6aa7ee816a1b0548756b3,1,6000,5.773615723,5.773615723,24596,0,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,2,350035,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,1e0336ebebb610416affd1c60a079cfa2f93b831df1c9142c74a7850ca01821b,1,6000,0.171222959,0.171222959,24432,218360768,,0
SBPF-instruction,Stage-2 minus Last-Use,allocation,2,350037,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6f2b1762ecfc77438cc02b8d1f9dbf8f6b407361c0a57d98e305c5d44f2ec150,1,6000,2.878496300,2.878496300,24580,3500575552,,0
SBPF-instruction,Stage-2 minus Closure,allocation,2,350055,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89929c84fdce499998e98054ad36bb68dc6cb2ec7b81517d982ae03c60c53d56,1,6000,0.089638602,0.089638602,24492,131129856,,0
SBPF-instruction,Stage-2 Full,allocation,2,350057,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,75b840aa4c6cfdb9583485af174db33119e1f5ab32b650b1b75fe7b4e3d7c105,1,6000,0.104540335,0.104540335,24500,131129856,,0
SBPF-instruction,Stage-1,allocation,2,350059,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89124754904d8614a0329f8bc49351695d39883069dd812ab4a5937bba335406,1,6000,5.901049372,5.901049372,24384,5920440928,,0
SBPF-program,Stage-1,runtime,3,350084,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16428a461467c55f83f21753c13d959c9d8b71f2bb463512be2bb51cbb41bb8d,1,146,89.176530167,89.176530167,1606820,0,,0
SBPF-program,Stage-2 minus Last-Use,runtime,3,350365,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7de2f2abd0832a698680d36ec7697b32c9db174c10866a61235e144e29b2b8d0,2,292,5.020217399,2.510108699,1603748,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,3,350383,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,04c8955f60e402e7ac7a8575f33f5438ed1c12cb2bed0de3260a2745a01585b8,35,5110,4.962855626,0.141795875,5472,0,,0
SBPF-program,Stage-2 Full,runtime,3,350401,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16f05137d942029dfd2f0ea9505e510021eeffba9eaafc50e767c787b762fd3d,363,52998,5.295445362,0.014588004,5052,0,,0
SBPF-program,Stage-2 minus Closure,runtime,3,350425,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,823b006f13396be49bda05cb2dfc84a22e06fd4bf0e752d3e796e9c2801cef5a,363,52998,5.307156985,0.014620267,5020,0,,0
SBPF-program,Stage-1,allocation,3,350452,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7df85c4864c3abde2605fa4a0594b0b81eb3aa4d8727325d3d39048313255c08,1,146,93.566469388,93.566469388,1606944,56653172736,,0
