benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-2 minus Borrow,allocation,1,214404,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,839e6a5af3d252bb84ff7d8a9af4506cd185c3773cb3228a9105dd70dc228977,20,2920,2.755590474,0.137779524,6184,2589302720,,0
SBPF-instruction,Stage-2 Full,runtime,1,214419,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,3f8c4e6a0b91e5e07dbf4713989ec2643c757a1c47429f61ce43e81c60186837,1,6000,0.063195684,0.063195684,25244,0,,0
SBPF-instruction,Stage-2 minus Mut,runtime,1,214421,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,764ce12b99de0e53053c416f76eb05964c777101844679e660171f6d3a755933,1,6000,2.436096295,2.436096295,25312,0,,0
SBPF-instruction,Stage-2 minus Copy,runtime,1,214429,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,0737b1b8294c59ad5aacf7dddfe947a72ef42827df3521b67fb731ae1b829374,1,6000,0.066918816,0.066918816,25244,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,1,214431,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2a8913877e3c31161cbbc5e158589f5fb9490b0c07e8b0cababa251db211402b,1,6000,0.119291867,0.119291867,25188,0,,0
SBPF-instruction,Stage-2 Full,allocation,1,214433,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,f95ec3038e6fad3e3334a483c8fa5cce9f7320a3a543281473e0659e6c72ade4,1,6000,0.087249817,0.087249817,25112,106610176,,0
SBPF-instruction,Stage-2 minus Mut,allocation,1,214435,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c695c7b0d4a558c8271dbaa4c1ba478b0f8a12082493920d0018e4f8cd9a1e09,1,6000,2.570019716,2.570019716,25180,4181165744,,0
SBPF-instruction,Stage-2 minus Copy,allocation,1,214443,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,8051b16e6b4b96cc28ed48f958dbbaaeb0238ef399da67e70d81cf964bdbbc6d,1,6000,0.068577702,0.068577702,25180,106610176,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,1,214451,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,73a54d8f8f0753ad4ee90556fe65328e492b40a32284bfd8edc1aae521ab3244,1,6000,0.146127289,0.146127289,25188,191642848,,0
SBPF-program,Stage-2 minus Mut,runtime,2,214453,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,cb481b0e42254d4ed4184845ba920607be66c92eb739170ebea64cabf711db94,1,146,3.174980864,3.174980864,2137172,0,,0
