benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,Stage-2 minus Borrow,allocation,2,381156,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,1e0336ebebb610416affd1c60a079cfa2f93b831df1c9142c74a7850ca01821b,1,6000,0.162289461,0.162289461,24572,218360768,,0
SBPF-instruction,Stage-2 minus Last-Use,allocation,2,381158,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,11b28ff71ff818ef19ca734a6b487b6b5ebb9cb121f9c6ccef8b4ff3952051bb,1,6000,3.014398169,3.014398169,24512,3500575552,,0
SBPF-instruction,Stage-2 minus Closure,allocation,2,381177,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,90ee50b6454592449d3e8f6c8c48250d78c418b8afb76ad147fcd3ed878dcdab,1,6000,0.100155320,0.100155320,24540,131129856,,0
SBPF-instruction,Stage-2 Full,allocation,2,381179,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ece986d024fa99eb7846dadbb27627863b378dc435d7c5689d09ffe36f22b26d,1,6000,0.100261257,0.100261257,24500,131129856,,0
SBPF-program,Stage-2 minus Last-Use,runtime,3,381181,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,c1b4b025507d53af50bb4899bb431db3a6b0c9c8568759c2066135ebd53b33a5,2,292,5.581300156,2.790650078,1603720,0,,0
SBPF-program,Stage-2 Full,runtime,3,381204,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,3946c1892f13a5328e38e72bdb63b45bce01c87f61f9429aae7a29ce66a45756,419,61174,5.118491102,0.012215969,4956,0,,0
SBPF-program,Stage-2 minus Closure,runtime,3,381218,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,a6902362ce5e7f96be1c91fb111fd16c475675810a44bf65c9dcf8968ce5973e,419,61174,5.316445501,0.012688414,5144,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,3,381238,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,04c8955f60e402e7ac7a8575f33f5438ed1c12cb2bed0de3260a2745a01585b8,39,5694,5.780555940,0.148219383,5352,0,,0
SBPF-program,Stage-2 minus Last-Use,allocation,3,381252,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,b3a186f8bf8b4b9148e3574d2ad665fb33a009e655f3a663d33892fbc480eb0e,1,146,3.038212055,3.038212055,1603636,1266816000,,0
SBPF-program,Stage-2 Full,allocation,3,381266,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,84b930b6e367fc85fe1c0af72e73cf21ec46a7b557c9296a59bf0e37147fab37,1,146,0.011806954,0.011806954,5148,14806672,,0
