benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,Stage-2 minus Last-Use,allocation,2,49032,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,4471a4e85efd165c7603fee372721c4c321924a4ccffef73bdd1343f05ed9a22,1,6000,2.506520246,2.506520246,24448,3495097152,,0
SBPF-instruction,Stage-2 minus Closure,allocation,2,49047,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,899544599889fc7deeb9382403aecf6b649e9cbaa3dcf4286177ab324a165690,1,6000,0.088499706,0.088499706,24432,136608256,,0
SBPF-instruction,Stage-2 Full,allocation,2,49049,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,762e75d2eb7adfea6d586b2548a49ab27640c10086d904b3f3e39743b5a5b287,1,6000,0.084993100,0.084993100,24564,136608256,,0
SBPF-program,Stage-2 minus Last-Use,runtime,3,49051,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6b84566911beae620ee95287b5e011641af0409f62ffdde895634e361dc0c01,2,292,4.706834641,2.353417321,1603264,0,,0
SBPF-program,Stage-2 Full,runtime,3,49075,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7bd777b915e7e6a21590464e1414d1e70f5fef5f67794e0fdd65155f9b2922d8,501,73146,5.353654674,0.010685937,4764,0,,0
SBPF-program,Stage-2 minus Closure,runtime,3,49093,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,039b286e9cb59d3c17aa94fa3c1cd2ca1e3537b762c01cec790bbc1600127aca,501,73146,5.403534381,0.010785498,4604,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,3,49117,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9c1ba83e3538c2f9a0aa966a8e31f56bf0af27f36eb8c4c43b7e5e3314aa4262,44,6424,5.480561656,0.124558219,5112,0,,0
SBPF-program,Stage-2 minus Last-Use,allocation,3,49143,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,6e513949e652583483fe42c7553612dba248d6a289df205895008b18ae18432c,1,146,2.730873260,2.730873260,1603416,1266816000,,0
SBPF-program,Stage-2 Full,allocation,3,49152,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,840857d13a1ef7cbf7556d70cb28488df284a69e7cc7275876a904f26f1d5697,1,146,0.011971056,0.011971056,4644,14806672,,0
SBPF-program,Stage-2 minus Closure,allocation,3,49154,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,48216403d4bd56d0acf6973a9b2eb68fd4521b759846e114bd553071c077a0ed,1,146,0.014096863,0.014096863,4756,14806672,,0
SBPF-program,Stage-2 minus Borrow,allocation,3,49156,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,36388c49529b07c86884fed48fc70bd0c69b54fc25794e9d86cd19b2eb4eec6e,1,146,0.137649732,0.137649732,5096,137105648,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,3,49158,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,3d8da1d359cd238722b0b59c73017d18c2ecdba6fe4f6f6a7e671391e3923f9d,2,12000,4.734156276,2.367078138,24508,0,,0
SBPF-instruction,Stage-2 Full,runtime,3,49188,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,04aa406a4161d5d4dbcc61c3a5adb89ec843bb5f3d29074a9ae8d13639fc1526,68,408000,5.279000395,0.077632359,24428,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,3,49206,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,b528697f86392d773c4d052844105f1b42e6dc206dfd3e1aca6d4a6d8c626212,68,408000,5.299090685,0.077927804,24492,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,3,49231,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,06c6db22388e3b030af38f2817a1723a4d403f4296e9302465027c32994e8077,40,240000,5.712500761,0.142812519,24572,0,,0
SBPF-instruction,Stage-2 minus Last-Use,allocation,3,49255,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,4471a4e85efd165c7603fee372721c4c321924a4ccffef73bdd1343f05ed9a22,1,6000,2.741789736,2.741789736,24512,3495097152,,0
